기관명,구,동,요양종별,진료시간(월요일)S,진료시간(월요일)C,진료시간(화요일)S,진료시간(화요일)C,진료시간(수요일)S,진료시간(수요일)C,진료시간(목요일)S,진료시간(목요일)C,진료시간(금요일)S,진료시간(금요일)C,진료시간(토요일)S,진료시간(토요일)C,진료시간(일요일)S,진료시간(일요일)C,진료시간(공휴일)S,진료시간(공휴일)C,경도,위도,전화번호,야간진료여부
이화여자대학교의과대학부속목동병원,양천구,목동,상급종합병원,800.0,1730.0,800.0,1730.0,800.0,1730.0,800.0,1730.0,800.0,1730.0,900.0,1200.0,1000.0,1800.0,930.0,1830.0,126.8862159683056,37.53654282637804,02-2650-5114,True
재단법인아산사회복지재단서울아산병원,송파구,풍납동,상급종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,900.0,1300.0,900.0,1500.0,900.0,1500.0,127.10823825113609,37.526563966361216,02-3010-3114,False
중앙대학교병원,동작구,흑석동,상급종합병원,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1200.0,900.0,1400.0,900.0,1300.0,126.96079378447554,37.50707428493414,1800-1114,False
학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),성북구,안암동5가,상급종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,800.0,1200.0,900.0,2100.0,900.0,1300.0,127.02647086385966,37.58715608002366,1577-0083,True
학교법인가톨릭학원가톨릭대학교서울성모병원,서초구,반포동,상급종합병원,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1200.0,900.0,2100.0,900.0,1300.0,127.00472725970135,37.50180080478528,0215881511,True
한양대학교병원,성동구,사근동,상급종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,930.0,1330.0,930.0,1400.0,127.04488284061982,37.559944533564746,02-2290-8114,False
서울대학교병원,종로구,연건동,상급종합병원,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1330.0,900.0,1400.0,900.0,1400.0,126.99896308412193,37.57966608924356,02-1588-5700,False
강북삼성병원,종로구,평동,상급종합병원,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1230.0,900.0,1300.0,900.0,1300.0,126.96793805451702,37.568497631233825,02-2001-2001,False
건국대학교병원,광진구,화양동,상급종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,1000.0,1330.0,1000.0,1330.0,127.0721229093036,37.54084479467721,1588-1533,False
경희대학교병원,동대문구,회기동,상급종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,900.0,1230.0,900.0,1800.0,1000.0,1500.0,127.05183223390304,37.5938765502235,02-958-8114,False
고려대학교의과대학부속구로병원,구로구,구로동,상급종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1200.0,1030.0,1600.0,1030.0,1600.0,126.8847449363546,37.49211114525054,02-2626-1114,False
연세대학교의과대학세브란스병원,서대문구,신촌동,상급종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,1000.0,1600.0,1000.0,1600.0,126.94082769649864,37.56211711412639,02-2228-0114,False
삼성서울병원,강남구,일원동,상급종합병원,830.0,1530.0,830.0,1530.0,830.0,1530.0,830.0,1530.0,830.0,1530.0,900.0,1300.0,900.0,1400.0,830.0,1300.0,127.08668245340024,37.48851613490445,02-3410-2114,False
연세대학교의과대학강남세브란스병원,강남구,도곡동,상급종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,1000.0,1600.0,1000.0,1600.0,127.04631254186796,37.49280698464547,02-2019-3114,False
서울성심병원,동대문구,청량리동,종합병원,900.0,1740.0,900.0,1730.0,900.0,1740.0,900.0,1730.0,900.0,1740.0,900.0,1300.0,900.0,1700.0,1000.0,1300.0,127.04983805981972,37.58419129209865,02-966-1616,False
